text,Favorites,Retweets,Tweet ID
Nielson Media Research final numbers on ACCEPTANCE SPEECH TRUMP  322 MILLION  CLINTON 278 MILLION  Thank you,13850,4130,7.6E+17
Thank you to all of the television viewers that made my speech at the Republican National Convention  1 over Crooked Hillary and DEMS,27659,6842,7.6E+17
Can you imagine if I had the small crowds that Hillary is drawing today in Pennsylvania It would be a major media event  ,19968,6488,7.6E+17
NATO commander agrees members should pay up via customclickrss …,11624,4668,7.6E+17
Wow NATOs top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS This is a general I will like,23922,7819,7.6E+17
The Rust Belt was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico END,17239,5717,7.6E+17
Crookeds stop in Johnstown Pennsylvania where jobs have been absolutely decimated by dumb politicians drew less than 200  with Bill VP,19254,7013,7.6E+17
 CrookedHillary  Obamas third term which would be terrible news for our economic growth  seen belowpictwittercomy9WJoUaaql,15358,6439,7.6E+17
Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania Perhaps it is because her husband signed NAFTA,18311,5820,7.6E+17
I turned down a meeting with Charles and David Koch Much better for them to meet with the puppets of politics they will do much better,25930,9474,7.59E+17
Why doesnt the media want to report that on the two Big Thursdays when Crooked Hillary and I made our speeches  Republicans won ratings,20774,6360,7.59E+17
 CrookedHillarypictwittercomxyoPFJmByp,16778,8077,7.59E+17
Crooked Hillary Clinton is soft on crime supports open borders and wants massive tax hikes A formula for disaster,22515,7659,7.59E+17
Violent crime is rising across the United States yet the DNC convention ignored it Crime reduction will be one of my top priorities,23173,7245,7.59E+17
Just got back from Colorado The love and enthusiasm at two rallies was incredible Big crowds,19488,4538,7.59E+17
"While I am in OH  PA  you can also join  in Nevada on Mon

Carson City  …

Reno  …",10715,3452,7.59E+17
"Join me Monday in Columbus Ohio  Harrisburg Pennsylvania  MAGA

3pm in OH  …

7pm in PA  …",9746,3310,7.59E+17
American homeownership rate in Q2 2016 was 629  lowest rate in 51yrs WE will bring back the  American DreampictwittercomyI4Q8FHRjp,22748,8836,7.59E+17
We are suffering through the worst lonerm unemployment in the last 70 years I want change  Crooked Hillary Clinton does not,24434,8019,7.59E+17
"Hillary can never win over Bernie supporters Her foreign wars 
NAFTATPP support  Wall Street ties are driving away millions of votes",21728,7104,7.59E+17
Colorado was amazing yesterday So much support Our tax trade and energy reforms will bring great jobs to Colorado and the whole country,17225,4420,7.59E+17
  ONLY TRUMP CAN UNITE AMERICA AND FIX OBAMAS MISTAKES  Trump2016 pictwittercomyB72Bm2muM,29060,11414,7.59E+17
"Thank you Denver Colorado 
 MakeAmericaGreatAgainpictwittercom1KHrLdkOyW",16602,4750,7.59E+17
As usual Hillary  the Dems are trying to rig the debates so 2 are up against major NFL games Same as last time w Bernie Unacceptable,36424,14567,7.59E+17
 CrookedHillary Job ApplicationpictwittercomCKXkAlGSiV,32498,15368,7.59E+17
Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement  insticts,34947,10957,7.59E+17
"Thank you to the amazing law enforcement officers in Colorado
 MakeAmericaGreatAgain  LESMpictwittercomglxTQYAQiN",28111,8979,7.59E+17
Thank you Colorado Springs Get out  VOTE  TrumpPence16 in NovemberpictwittercomwK02fWzJey,21879,7067,7.59E+17
Only a Reagan or a Trumplike figure in the White House will achieve this goalneedatoughnegotiatorliketrumptofixustradepolicycommentaryhtml …,20483,7991,7.59E+17
Even Bill is tired of the lies SAD  ,21501,7543,7.59E+17
"Join me in Colorado Springs at 2pm or in Denver tonight at 7pm

Colorado Springs  …

Denver  …",10071,3014,7.59E+17
What Bernie Sanders really thinks of Crooked Hillary ClintonpictwittercomVgMaAsZBep,38170,20383,7.59E+17
I am watching Crooked Hillary speak Same old stuff our country needs change,24219,6613,7.59E+17
Wow my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Hillary She sold them out VP pick,34307,9900,7.59E+17
In Hillary Clintons America  things get worse  TrumpPence16pictwittercomWdHbnhhCbW,24331,11489,7.59E+17
The dishonest media didnt mention that Bernie Sanders was very angry looking during Crookeds speech He wishes he didnt make that deal,28474,8073,7.59E+17
"Thank you 

Facebook 0 …

Instagram ",21506,6145,7.59E+17
Crooked Hillary said that I couldnt handle the rough and tumble of a political campaign ReallyI just beat 16 people and am beating her,52224,16864,7.59E+17
If Michael Bloomberg ran again for Mayor of New York he wouldnt get 10 of the vote  they would run him out of town   NeverHillary,21417,6025,7.59E+17
Little Michael Bloomberg who never had the guts to run for president knows nothing about me His last term as Mayor was a disaster,25407,7728,7.59E+17
General John Allen who I never met but spoke against me last night failed badly in his fight against ISIS His record  BAD   NeverHillary,20909,6195,7.59E+17
Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech Many of her statements were lies and fabrications,33395,9505,7.59E+17
Join  at the University of Northwestern Ohio tonight at 7pm Tickets  …,10551,3130,7.59E+17
 I believe in science Dem code for were shutting down coal mines steel plants and any other remaining manufacturing,22849,8239,7.59E+17
"CAMPAIGN STATEMENT 
 …",10400,3784,7.59E+17
Two policemen just shot in San Diego one dead It is only getting worse People want LAW AND ORDER,27686,9641,7.59E+17
Crooked Hillary Clinton made up facts about me and forgot to mention the many problems of our country in her very average scream,31255,8900,7.59E+17
The media coverage this morning of the very average Clinton speech and Convention is a joke  and the little watched   SAD,20501,5920,7.59E+17
No one has worse judgement than Hillary Clinton  corruption and devastation follows her wherever she goes,48941,17638,7.59E+17
Hillarys wars in the Middle East have unleashed destruction terrorism and ISIS across the world,36692,13171,7.59E+17
Hillarys vision is a borderless world where working people have no power no jobs no safety,42946,16365,7.59E+17
